KK Algorithm Results
 residue, time 
58194, 7.028000000000242e-05
232718, 6.910700000000228e-05
113799, 6.711499999999954e-05
269734, 6.602600000000028e-05
748627, 6.607700000000119e-05
42131, 6.568800000000125e-05
1160294, 6.597700000000178e-05
182278, 6.662199999999882e-05
102285, 6.629400000000146e-05
5416, 6.645799999999841e-05
187333, 6.631699999999977e-05
224806, 6.623399999999835e-05
108951, 6.713099999999805e-05
126880, 6.676199999999799e-05
130840, 6.479499999999944e-05
198200, 6.42890000000021e-05
89160, 6.439700000000076e-05
9630, 6.397600000000031e-05
110833, 6.410000000000096e-05
96482, 6.441299999999928e-05
60203, 6.395199999999907e-05
98948, 6.432699999999944e-05
11019, 6.452500000000277e-05
29071, 6.412099999999685e-05
3617, 6.450999999999679e-05
271666, 6.46319999999985e-05
1087515, 6.275899999999904e-05
72524, 6.234999999999921e-05
164, 6.241300000000075e-05
268956, 6.201200000000018e-05
116686, 6.331500000000129e-05
74566, 6.351699999999905e-05
231809, 7.45829999999996e-05
252059, 6.104000000000179e-05
61919, 6.12980000000013e-05
6038, 6.106399999999956e-05
129301, 6.157400000000174e-05
11612, 6.086899999999812e-05
23135, 6.102599999999875e-05
16450, 6.0788999999998594e-05
239247, 6.070099999999981e-05
148509, 6.0839999999999506e-05
298880, 6.10789999999986e-05
57918, 6.099600000000066e-05
368898, 6.113199999999847e-05
94126, 6.11539999999973e-05
494279, 5.9655000000002206e-05
717700, 5.9441000000000355e-05
371220, 5.934599999999832e-05
388813, 5.971800000000027e-05
